Text,Label
当年 奥斯卡 颁奖礼 上 被 如日中天 阿甘正传 掩盖 光彩 随着 时间 推移 这部 电影 越来越 多 人们 心中 地位 已 超越 阿甘 每当 现实 令 疲惫 产生 无力感 翻出 这张 碟 就 重获 力量 毫无疑问 本片 位列 男人 必看 电影 前三名 回顾 一段 经典台词 有 人 羽翼 如此 光辉 即使 世界 上 黑暗 牢狱 无法 长久 地 将 围困,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
恐惧 让 沦为 囚犯 希望 让 重获 自由 肖申克 救赎,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
人 生命 不过 是从 一个 洞穴 通往 另 一个 世界 然后 那个 世界 雨 中 继续 颤抖 i hope,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope
这是 一部 男人 必看 电影 人人 都 这么 说 但 单纯 性别 区分 就 会 让 电影 变 狭隘 肖申克 救赎 突破 男人 电影 局限 通篇 充满 令人 难以置信 温馨 基调 电影 里 伟大 主题 希望 当 无奈 地 遇到 如同 肖申克 一般 囚禁 心灵 自由 那种 囹圄 无奈 老 布鲁克 灰心 瑞德 还是 智慧 安迪 运用 智慧 信任 希望 并且 勇敢 面对 恐惧心理 去 打败 经典 电影 之所以 经典 都 做 同 一件 事 让 不同 角度 来 欣赏 希望 美好,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。"
Hope is a good thing and maybe the best thing of all,"Hope is a good thing, and maybe the best thing of all."
策划 年 私奔,策划了19年的私奔……
希望 强有力 注释,关于希望最强有力的注释。
有 种鸟 关不住,有种鸟是关不住的.
超级 喜欢 超级 喜欢 不看 的话 人生 不 圆满,"超级喜欢超级喜欢,不看的话人生不圆满."
Fear Can Hold You Prisoner Hope Can Set You Free,"Fear Can Hold You Prisoner, Hope Can Set You Free"
这样 男人 谁 会 舍得 背叛,这样的男人谁会舍得背叛。。。
一部 爱情 美女 电影 光芒四射,"一部没有爱情与美女的电影,却光芒四射"
不愧 好莱坞 大片 一环扣一环 没想到 最后 不但 逃生 生天 偷偷 把 典狱长 贪污 转移 出来 证据 送达 出去 帮助 曾经 关心 过 自己 人 情节 安排 巧妙 演员 演绎 也好 美国 有 爱国 情节 给 打 四分,不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分
年 台湾 引进 一部 比较 卖座 老片 The Sting 被 错 译成 刺激 到 年 本片 上映 时 片商 觉得 其 剧情 刺激 有 类似 地方 都 属于 高智商 复仇 因此 被 译成 刺激 年 有 一部 片子 Return To Paradise 含有 牢狱 情节 被 译成 刺激 说 起来 自打 高 一时 看过 肖申克 救赎 男主角 安迪 精神 就 持续 影响 着 成为 价值观 一部分 那种 持续 不断 给 有关 机构 写信 申请 图书馆 精神 那种 拒绝 忙 着 活忙 着 死 人生 精神 那种 迫不得已 作恶 良心 不 泯 正义 终彰 精神 那种 享受 生命 中 每一刻 微小 美好 精神 那种 困境 中 梦想 着 远方 有 一小块 属于 自己 乐土 精神 那种 甘于 平凡 且 活得 自 精神 一言以蔽之 那种 属于 人性 光辉 精神,"因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！

说起来，自打高一时看过《肖申克的救赎》，男主角安迪的精神就持续影响着我，成为我价值观的一部分。那种持续不断给有关机构写信申请图书馆的精神，那种拒绝“忙着活，忙着死”的人生的精神，那种迫不得已作恶却良心不泯正义终彰的精神，那种享受生命中每一刻微小的美好的精神，那种在困境中梦想着远方有一小块属于自己乐土的精神，那种甘于平凡且活得自在的精神。一言以蔽之，那种属于“人性的光辉”的精神。"
知道 鸟儿 注定 不会 被关 牢笼 里 它们 每 一片 羽毛 都 闪耀着 自由 光辉 一部 经得起 时间 检验 电影 豆瓣 时光 网 IMDb 各大 电影 网站 都 排名 第一 电影,"“你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。”
一部经得起时间检验的电影，豆瓣、时光网、IMDb各大电影网站都排名第一的电影。"
人会 不 喜欢 吧 书 电影 都 好,没有人会不喜欢吧！书和电影都好。
记得 老 brook 上吊自杀 时 心里 有 多 难过 自由 来 太晚 生命 早已 自行 放弃,还记得老brooks上吊自杀时心里有多难过。自由来的太晚，生命早已自行放弃。
一部 女主 爱情 特技 好 片子 大学 英语老师 喜欢 放 给 学生 看 片子 这部 片子 讲诉 就是 一个 纯粹 故事 一次 救赎 换回 自由 一种 信念 驱使 这么 做 这部 片子 感人 让 人 成长,一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。
肖申克中 生存 体制 如 当今社会 体制 痛改前非 人 一次次 被 重新 投入 黑暗 当权者 干着 肮脏 勾当 却会 公众 面前 宣讲 拯救 之道 似乎 只有 当 性格 棱角 思想 失去 火花 被 体制 化 人们 习惯 逆来顺受 时候 才 平安 生存,肖申克中生存体制又如当今社会体制，“痛改前非”的人一次次被重新投入黑暗之中，当权者干着肮脏的勾当却会在公众面前宣讲“拯救之道”，似乎只有当性格没有棱角，思想失去火花，被“体制化”的人们习惯逆来顺受的时候才可以平安生存
这部 电影 没什么 好 说 史 上 完美 电影 一秒 尿 尿 时间,这部电影没什么好说的，史上最完美的电影，没有一秒尿尿时间！
hope is a good thing,hope is a good thing
对不起 戒酒,对不起，我戒酒了。
越狱 感觉 就是 改编自 这个,越狱我感觉就是改编自这个
每年 都 回顾 一部 片子 每当 心情 低落 人生 低谷 时候 随便 什 时候 打开 听 着 摩根 弗里 曼 低沉 声音 娓娓道来 故事 就 会 感觉 好 好 电影 好 人生 陪伴,这是我每年都要回顾的一部片子，每当心情低落，人生低谷的时候，或者随便什时候打开，听着摩根弗里曼低沉的声音娓娓道来故事，就会感觉好了很多。好的电影是好的人生陪伴
明修栈道 暗渡陈仓,明修栈道，暗渡陈仓
下水道 逃出去 真的 震撼 不得不 说 男主对 自由 执念 克服 一切 即使 待 监狱 里 不断 学习 没 外面 世界 脱轨 才能 如此 从容 面对 一切 即使 监狱 小小 世界 里 自己 主宰 说 学习 重要 学到老 活到老,通过下水道逃出去，这真的是太震撼了，不得不说男主对自由的执念克服了一切，即使待在监狱里，因为不断学习，没和外面的世界脱轨，他才能如此从容面对一切，甚至即使是在监狱这小小世界里自己也是主宰，所以说：学习很重要，学到老活到老。
绝对 期待 过高 导致 有点 失望,绝对是期待过高导致有点失望
真的 不 喜欢 不 好看 没 感觉,真的不喜欢，不好看，没感觉
若 试 自由 如 生命 愿意 用 年 来 一日 逃脱,若你试自由如生命，你愿意用20年等来一日的逃脱。
何为 救赎 只有 重燃 人们 心中 希望 才能 救赎 有 希望 才 有 一切 即使 环境 恶劣 安迪 都 放弃 坚持不懈 写信 为 大家 换来 更好 图书馆 帮助 有 需要 人 拿到 高中 文凭 使 社会 上 有 生存能力 就算 知道 会 惹怒 看守 想 让 人们 都 听到 美妙 歌声 点燃 希望 之光 有 一种 鸟儿 永远 关不住,何为救赎？只有重燃人们心中的希望才能救赎。有希望才有一切可能。即使环境再恶劣，安迪都没有放弃，坚持不懈的写信为大家换来更好的图书馆，帮助有需要的人拿到高中文凭使他们可以在社会上有生存能力，就算知道会惹怒看守也想让人们都听到美妙的歌声，点燃希望之光。有一种鸟儿是永远也关不住的。
看 完 让 人 振奋,看完让人很振奋
好片 远比 这部 片 更好 大家 整天 把 这部 电影 稀奇 不行 其实 同年 电影 喜欢 阿甘,好片，但是远比这部片更好的还很多，大家整天把这部电影稀奇得不行，其实同年的电影我更喜欢阿甘。
其实 理解 不了 这部 影片 会 排名 第一,其实理解不了为什么这部影片会排名第一…
救赎 什么 灵魂 自由 信念 看看 这部 电影 就 有 体会,救赎什么？灵魂？自由？信念？你看看这部电影就有体会了
感人 电影 完整 看过 四遍 安迪 下水道 爬 出后 水里 雨 中 仰天长啸 时 就 瞬间 泪奔,太感人的电影！完整看过四遍！安迪从下水道爬出后，在水里在雨中仰天长啸时，就瞬间泪奔！
大众 经典 从不 感冒 欣赏 水平 不行,大众经典我从不感冒，为什么？我欣赏水平不行？
心目 中 都 被 高估 电影,"在我的心目中,它一直都是最被高估的电影。"
这是 一部 自由 友情 正义 电影 信念 不 灭 希望 永存 其实 全体 人 救赎 只是 选择 方式 不同 而已,这是一部关于自由、友情、正义的电影!“信念不灭，希望永存”。这其实是他们全体人的救赎，只是选择的方式不同而已。
真的 很金典 人 心里 都 有 渴望 不 一样 自由 不得不 被 现实生活 所 束缚 矛盾 个体 希望 人能 像 安迪 一样 找到 获得 真正 自由 喜欢 摩根 弗里 曼,真的很金典，每个人心里都有渴望不一样的自由，却又不得不被现实生活所束缚，很矛盾的个体，希望每个人能像安迪一样找到获得真正的自由。很喜欢摩根弗里曼
二十岁 以为 自己 外边 看 四十岁 才 明白 自己 里边 看,二十岁以为自己是在外边看，四十岁才明白自己是在里边看。
喜欢 电影,我最喜欢的电影
天下大同 PS 停留 前去 相逢 车子 远去 背影 不必 拍出 重遇 相拥,天下大同。PS：停留在前去相逢的车子远去的背影最好，不必拍出重遇和相拥。
高中 第一节 心理 课有 一种 鸟 关不住 它们 每 一片 羽毛 都 闪耀着 自由 光辉 但 后来 不幸 成 逆反 宣言 哈哈哈,高中第一节心理课。“有一种鸟是关不住的，因为它们的每一片羽毛都闪耀着自由的光辉”，但后来不幸成了我的逆反宣言……哈哈哈。
几年 后 五星 改成 三星,几年后，五星改成三星。
不 知道 是不是 史上 最佳 电影 但 绝对 吹嘘 最大 电影,我不知道这是不是史上最佳的电影，但这绝对是吹嘘最大的电影。
好 可惜 那年 有 阿甘正传 但 个人 认为 还是 这部 最佳,非常好，可惜那年有阿甘正传，但我个人认为还是这部最佳。
经典 老电影 就是 不 一样 重温 无数遍 呢,经典老电影就是不一样，重温了无数遍呢
